Customer ID,Country,Plan,Monthly Spend ($),Tenure (Months),Churned,Signup Source,Industry,Last Active Date
CUST00001,France,Basic,24.44,19,No,Organic,Retail,2025-04-03
CUST00002,France,Basic,31.59,53,No,Referral,Finance,2025-04-06
CUST00003,Canada,Pro,75.31,60,No,Paid Ads,Retail,2025-04-10
CUST00004,France,Basic,32.71,22,Yes,Organic,Technology,2025-03-29
CUST00005,Germany,Basic,17.8,28,No,Organic,Retail,2025-04-14
CUST00006,USA,Basic,33.02,47,No,Paid Ads,Finance,2025-04-01
CUST00007,Australia,Basic,29.88,37,No,Organic,Technology,2025-03-29
CUST00008,Canada,Basic,31.78,39,Yes,Partner,Finance,2025-02-28
CUST00009,Germany,Enterprise,239.2,26,No,Referral,Retail,2025-04-07
CUST00010,Brazil,Pro,91.19,47,No,Paid Ads,Healthcare,2025-03-16
CUST00011,UK,Pro,76.32,17,No,Referral,Finance,2025-03-12
CUST00012,Canada,Pro,83.76,2,No,Referral,Retail,2025-04-24
CUST00013,USA,Basic,27.69,18,No,Partner,Retail,2025-03-28
CUST00014,UK,Enterprise,302.0,36,No,Referral,Technology,2025-03-01
CUST00015,UK,Enterprise,296.53,16,No,Organic,Healthcare,2025-03-22
CUST00016,Australia,Basic,28.49,24,No,Organic,Healthcare,2025-03-13
CUST00017,USA,Basic,24.35,15,No,Referral,Technology,2025-04-09
CUST00018,Brazil,Basic,30.67,9,No,Referral,Technology,2025-04-21
CUST00019,Canada,Basic,35.15,33,No,Organic,Retail,2025-04-03
CUST00020,France,Enterprise,327.94,58,No,Paid Ads,Education,2025-04-07
CUST00021,USA,Pro,64.92,48,No,Paid Ads,Retail,2025-04-02
CUST00022,Germany,Pro,91.0,37,No,Referral,Healthcare,2025-03-21
CUST00023,France,Pro,79.28,37,No,Referral,Finance,2025-03-30
CUST00024,UK,Pro,90.04,5,No,Referral,Finance,2025-03-19
CUST00025,France,Pro,113.72,15,No,Referral,Retail,2025-04-07
CUST00026,Australia,Basic,25.4,51,Yes,Paid Ads,Technology,2025-03-21
CUST00027,France,Pro,80.92,30,No,Paid Ads,Finance,2025-02-27
CUST00028,Germany,Pro,60.12,15,No,Partner,Education,2025-03-16
CUST00029,France,Basic,28.94,22,No,Paid Ads,Education,2025-03-31
CUST00030,Brazil,Pro,75.73,57,No,Organic,Finance,2025-03-04
CUST00031,Brazil,Basic,27.93,11,No,Organic,Education,2025-04-18
CUST00032,Germany,Basic,23.01,25,No,Referral,Retail,2025-03-25
CUST00033,Canada,Basic,28.04,52,No,Referral,Finance,2025-04-26
CUST00034,France,Basic,22.68,6,No,Partner,Healthcare,2025-04-16
CUST00035,France,Basic,28.02,44,No,Partner,Finance,2025-03-17
CUST00036,UK,Basic,28.55,32,No,Paid Ads,Finance,2025-03-11
CUST00037,France,Pro,82.58,52,No,Referral,Technology,2025-03-15
CUST00038,Germany,Pro,79.26,3,No,Partner,Education,2025-03-14
CUST00039,Canada,Basic,30.51,2,No,Paid Ads,Technology,2025-03-21
CUST00040,Germany,Basic,27.84,32,No,Organic,Retail,2025-04-08
CUST00041,Brazil,Basic,29.83,32,No,Organic,Finance,2025-04-01
CUST00042,France,Basic,24.16,55,No,Paid Ads,Healthcare,2025-03-12
CUST00043,Australia,Basic,25.99,52,No,Organic,Healthcare,2025-02-26
CUST00044,Germany,Basic,36.92,48,No,Partner,Technology,2025-03-03
CUST00045,UK,Basic,39.67,3,No,Organic,Retail,2025-03-16
CUST00046,France,Pro,80.81,19,No,Referral,Education,2025-04-10
CUST00047,USA,Pro,72.8,41,No,Referral,Healthcare,2025-04-12
CUST00048,Canada,Basic,28.65,18,No,Partner,Retail,2025-03-04
CUST00049,France,Pro,71.62,31,No,Referral,Technology,2025-04-16
CUST00050,Brazil,Basic,33.39,60,No,Paid Ads,Technology,2025-03-31
CUST00051,USA,Enterprise,248.68,1,No,Referral,Technology,2025-03-25
CUST00052,Australia,Pro,81.19,37,No,Paid Ads,Finance,2025-04-04
CUST00053,UK,Basic,34.82,16,No,Paid Ads,Technology,2025-03-31
CUST00054,Brazil,Pro,69.35,56,No,Organic,Technology,2025-03-18
CUST00055,UK,Pro,88.54,48,No,Partner,Retail,2025-04-25
CUST00056,USA,Pro,97.89,29,No,Referral,Education,2025-03-17
CUST00057,Canada,Basic,15.6,41,No,Organic,Finance,2025-04-16
CUST00058,Australia,Basic,25.98,14,No,Organic,Retail,2025-03-09
CUST00059,France,Pro,89.63,17,No,Partner,Retail,2025-03-03
CUST00060,Brazil,Basic,32.06,59,No,Paid Ads,Finance,2025-03-13
CUST00061,France,Basic,34.39,27,No,Partner,Technology,2025-03-03
